timesteps,ent_coef,policy_loss,value_loss,entropy_loss,approx_kl,early_stopped,grad_norm,reward_mean,reward_std,avg_steps_survived,max_hover_streak,avg_final_dist,min_final_dist,std_final_dist,effective_std_mean,total_param_norm,outcome_oob,outcome_attitude-ROLL,outcome_attitude-PITCH,outcome_hit,outcome_hover_success,outcome_moving_away_cap,outcome_drift,outcome_timeout
945000,0.004070000000000001,0.27296048650168814,110.78322824835777,5.80952550843358,2.3537441595399287,True,271.8590997457504,835.7744815303486,578.2496385367025,839.85,0,122.5021667878232,79.0126418271643,29.238367307746994,0.05703331157565117,177.06885117292404,0,12,8,0,0,0,0,0
960000,0.004055,0.1960161729803076,81.38350044190884,5.809537259861827,1.7727045012725284,True,255.0651014149189,487.6006168462747,581.3574139010252,1017.75,0,114.26198813425148,79.17630060716436,27.468957750462327,0.0570334792137146,177.08248129487038,0,20,0,0,0,0,0,0
975000,0.00404,0.1778944428479008,74.60455557703972,5.809519728645682,7.539093538667657,True,266.597833275795,560.7076026251705,561.4265880088782,777.1,0,122.69244435951505,79.64393335703012,23.224597065239713,0.05703357979655266,177.10545147955418,0,20,0,0,0,0,0,0
990000,0.004025,0.26132666354533285,126.56178385019302,5.8095373921096325,2.6972237142181257,True,319.7054535448551,592.2684151858773,453.21279557529687,1053.5,0,108.51881494501586,82.38734652002185,24.35399722359847,0.05703373998403549,177.11059033870697,0,20,0,0,0,0,0,0
1005000,0.0040100000000000005,0.13999521268124226,82.56512524560094,5.809511290863156,5.268342000854318,True,269.5608216524124,626.9848307002483,536.8953216607085,1173.9,0,109.84308810084414,87.03601911514082,21.6822009398748,0.057033855468034744,177.14301893115044,0,20,0,0,0,0,0,0
1020000,0.003994999999999999,0.11602728382058558,50.64143078774214,5.809535384178162,1.5981558465282433,True,282.0414450764656,553.4008745397647,433.4636719797156,982.35,0,116.25742053712986,90.8708338214763,18.312574543415593,0.05703398957848549,177.1533986032009,0,20,0,0,0,0,0,0
1035000,0.00398,0.07442717283993261,41.58645782247186,5.80969899520278,0.46041179266467225,True,296.62350407242775,398.533163780102,363.46647340723894,1008.55,0,116.61844502803805,92.36752373271591,22.75422044070248,0.057034023106098175,177.15276969969273,0,19,1,0,0,0,0,0
1050000,0.003965000000000001,0.0682133516529575,27.345212964341044,5.809728780761361,0.8736401547212154,True,244.33395986258984,314.01374541387713,282.3740736079091,661.5,0,133.0960966319896,88.1735061595526,14.419787390408842,0.05703403055667877,177.14065144956112,0,14,6,0,0,0,0,0
1065000,0.00395,0.1124819323686097,38.37250557914376,5.8095348458737135,1.8254582163208397,True,298.4643249809742,224.45215232941456,363.5362665343916,887.25,0,117.28711900749138,88.68396280331254,27.139418287294323,0.05703406780958176,177.15335638821125,0,12,8,0,0,0,0,0
1080000,0.003935,0.3737775265108212,71.60072692483664,5.809504201635718,1.9723576539108763,True,646.1171205937862,511.0427755539916,545.1231513209372,822.0,0,122.07677398890189,93.45622192472553,22.714865067186476,0.057034119963645935,177.1799595206976,0,9,11,0,0,0,0,0
